model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
Standard BERT ABSA,123,2,restaurant,3602,0.8065,0.5786,0.4066,0.7138,0.5062,0.0
Standard BERT ABSA,123,3,val,122,0.5239,0.8361,0.4565,0.9151,0.4545,0.0
Standard BERT ABSA,123,3,in_domain,123,0.5239,0.8618,0.6375,0.9187,0.7273,0.2667
Standard BERT ABSA,123,3,laptop,2313,0.5239,0.6304,0.4756,0.7265,0.6789,0.0213
Standard BERT ABSA,123,3,restaurant,3602,0.5239,0.6716,0.4653,0.8033,0.5713,0.0212
Standard BERT ABSA,123,4,val,122,0.3389,0.8361,0.4167,0.9167,0.3333,0.0
Standard BERT ABSA,123,4,in_domain,123,0.3389,0.8862,0.6292,0.9358,0.5882,0.3636
Standard BERT ABSA,123,4,laptop,2313,0.3389,0.6572,0.5033,0.7559,0.7042,0.0497
Standard BERT ABSA,123,4,restaurant,3602,0.3389,0.6818,0.4748,0.8104,0.5697,0.0444
Standard BERT ABSA,123,5,val,122,0.2242,0.8607,0.4281,0.9315,0.3529,0.0
Standard BERT ABSA,123,5,in_domain,123,0.2242,0.9106,0.6224,0.9507,0.6667,0.25
Standard BERT ABSA,123,5,laptop,2313,0.2242,0.6628,0.5032,0.7606,0.7114,0.0377
Standard BERT ABSA,123,5,restaurant,3602,0.2242,0.6835,0.4701,0.8103,0.5667,0.0333
Extended BERT ABSA,123,1,val,122,1.0713,0.7131,0.3838,0.8333,0.3182,0.0
Extended BERT ABSA,123,1,in_domain,123,1.0713,0.8699,0.5059,0.9252,0.5926,0.0
Extended BERT ABSA,123,1,laptop,2313,1.0713,0.5179,0.3764,0.522,0.6072,0.0
Extended BERT ABSA,123,1,restaurant,3602,1.0713,0.432,0.3115,0.5424,0.3922,0.0
Extended BERT ABSA,123,2,val,122,0.8571,0.8033,0.4158,0.8995,0.3478,0.0
Extended BERT ABSA,123,2,in_domain,123,0.8571,0.8537,0.5857,0.9159,0.5556,0.2857
Extended BERT ABSA,123,2,laptop,2313,0.8571,0.6377,0.4747,0.7332,0.6866,0.0043
Extended BERT ABSA,123,2,restaurant,3602,0.8571,0.641,0.4324,0.783,0.5081,0.0062
Extended BERT ABSA,123,3,val,122,0.5093,0.8443,0.4805,0.9231,0.5185,0.0
